task,test_accuracy
ade_corpus_v2,0.8039965986394558
anli,0.515
aqua_rat,0.1968503937007874
arc_challenge,0.5426621160409556
arc_easy,0.8198653198653199
banking77,0.4902597402597403
boolean_expressions,0.613
circa,0.7674350744091042
clinc_oos,0.5328
commonsense_qa,0.441025641025641
cryptonews_articles,0.3476
disfl_qa,0.3175
elementary_math_qa_question_only,0.19375812743823148
formal_fallacies_syllogisms_negation,0.5014084507042254
glue_cola,0.39369158878504673
glue_mnli,0.7056
glue_mrpc,0.601159420289855
glue_qnli,0.8116
glue_qqp,0.7558
glue_sst2,0.9232
gsm8k,0.579226686884003
hyperbaton,0.7898
intersect_geometry,0.082
machine_paraphrase_dataset,0.8023604720944189
medmcqa,0.5972
mmlu_combined,0.2690909090909091
mmlu_pro,0.10548172757475083
mnist_ascii,0.1838
multistep_arithmetic,0.14666666666666667
object_counting,0.23614958448753462
openmathinstruct_2,0.04061624649859944
overruling,0.8791666666666667
qa_wikidata,0.6635696821515893
qasc,0.9176904176904177
quail,0.6829268292682927
race_high,0.6286449399656947
reasoning_about_colored_objects,0.36
sciq,0.247
sports_understanding,0.5661605206073753
stackoverflow_questions,0.26522713383581176
super_glue_boolq,0.6765641569459173
super_glue_copa,0.875
super_glue_rte,0.7550200803212851
super_glue_wic,0.5874769797421732
super_glue_wsc,0.44642857142857145
temporal_sequences,0.92
toxic_chat,0.8482
tracking_shuffled_objects,0.184
tweet_eval_hate,0.435016835016835
tweet_topic_single,0.7922918505442778
twitter_complaints,0.8521739130434782
twitter_financial_news_sentiment,0.762303664921466
typescript_chunks,0.884
unarxive_imrad_clf,0.5133507327845814
unit_conversion_si_conversion,0.15666666666666668
web_of_lies,0.5738255033557047
xnli_de,0.6316
xnli_en,0.615
xnli_es,0.5088
xnli_fr,0.475
xnli_hi,0.5386
xnli_th,0.5034
