task,zero_shot
arc_challenge,0.703072
arc_easy,0.847222
ade_corpus_v2,0.731718
mmlu_pro,0.118771
anli,0.369
banking77,0.294805
boolean_expressions,0.683
super_glue_boolq,0.85684
circa,0.22848
clinc_oos,0.122
glue_cola,0.815421
commonsense_qa,0.232821
super_glue_copa,0.475
disaster_response_messages,0.669076
fig_qa,0.64876
formal_fallacies_syllogisms_negation,0.497887
race_high,0.517724
hyperbaton,0.625
imbalanced,0.1402
intersect_geometry,0.104
medmcqa,0.4754
mmlu,0.254545
mmlu_combined,0.269
mnist_ascii,0.0962
glue_mnli,0.6686
glue_mrpc,0.713043
object_counting,0.285319
overruling,0.8875
glue_qnli,0.683
glue_qqp,0.7846
quail,0.332683
qasc,0.595
reasoning_about_colored_objects,0.40875
super_glue_rte,0.662651
sports_understanding,0.733189
glue_sst2,0.8988
swa,0.48468
temporal_sequences,0.24
tokenized,0.19685
toxicchat0124,0.8794
tracking_shuffled_objects,0.224
twitter_financial_news_sentiment,0.360209
typescript_chunks,0.7982
web_of_lies,0.511745
super_glue_wic,0.615101
super_glue_wsc,0.535714
unarxive_imrad_clf,0.305963
yor,
disfl_qa,0.28375
multistep_arithmetic,0.0966666666666666
elementary_math_qa_question_only,0.2080624187256176
openmathinstruct_2,0.0070028011204481
sciq,0.39
qa_wikidata,0.5985330073349633
cryptonews_articles_with_price_momentum_labels,0.364
machine_paraphrase_dataset,0.5187037407481496
main,0.7513267626990144
unit_conversion_si_conversion,0.19
twitter_complaints,0.8898550724637682
polish_sequence_labeling,0.00933125972006221
xnli_de,0.451
xnli_en,0.480
xnli_es,0.438
xnli_fr,0.409
xnli_hi,0.458
xnli_th,0.397
